ID Number,Number,Image,Topic,Reading,Front,Back,
1605,231,,Economics,16,What is an incentive system?,"An incentive system is method of aligning compensation to the goals and objectives of the firm and/or divisions of the firm. Thus, employees are incentivized to perform in a manner that rewards both the firm and themselves.",EndOfLine
1606,232,,Economics,16,"What is the principle-agent problem, and what steps can be taken to reduce it?","The principle-agent problem describes the difficulty in aligning the incentives of managers with the goals of shareholders. For instance in large organizations, the interests of management (job preservation and compensation) diverge from the interests of owners/shareholders (maximization of firm value). A common interpretation of the problem is that managers are incentivized to achieve short-term gains instead of maximizing firm value in the long run. NLNThree ways of attempting to reduce the principle-agent problem are: NLN1. Ownership – Assigning some form of ownership to management and employees. NLN2. Incentive Pay – Compensating management and employees based on performance. NLN3. Long-Term Contracts – This ties the long-term compensation of managers and workers (agents) to the success of the owners of the firm (principals).",EndOfLine
1607,233,,Economics,16,Describe the different types of business organization.,"The three main types of business organizations are: NLN1. Proprietorship – a business with a sole owner who faces unlimited liability for the firm's debts and obligations. NLN2. Partnership – a business with two or more owners who face unlimited liability. Income flows to the partners according to each person's proportion of ownership. NLN3. Corporation – a business owned by stockholders, whose liability is legally limited to the amount that they invested. A corporation is a legal entity that pays income taxes. Stockholders pay capital gains taxes.",EndOfLine
1608,234,,Economics,16,Describe the four market types.,"The four market types are: NLN1. Perfect competition is a market where there are many firms, each selling an identical product, and many buyers. Also, there are no restrictions to the entry of new firms, and all sellers and buyers are well-informed. NLN2. Monopolistic competition is a market in which many firms compete by making slightly differentiated products. NLN3. Oligopoly is a market structure in which a small number of firms compete, each producing a differentiated product. There tends to be restrictions to the entry of new firms in this type of market. NLN4. Monopoly is a market structure comprised of one firm producing a product with no close substitutes and in which the firm is protected by a barrier to the entry of new firms (by legal right, economies of scale, etc.)",EndOfLine
1609,235,,Economics,16,What is the four-firm concentration ratio?,"The four-firm concentration ratio is the market share, as a percentage, of the four largest firms in the industry.",EndOfLine
1610,236,,Economics,16,What is the four-firm concentration ratio in a market experiencing perfect competition?,A perfectly competitive market will have a four-firm ratio close to 0.,EndOfLine
1611,237,,Economics,16,What does a four-firm ratio of less than 40% indicate about the given market?,A four-firm ratio of less than 40% indicates the market is competitive.,EndOfLine
1612,238,,Economics,16,What is the four-firm concentration ratio in an oligopoly?,An oligopoly has a four-firm ratio greater than 60%.,EndOfLine
1613,239,,Economics,16,What does a four-firm ratio of 100% indicate about the given market?,A four-firm ratio of 100% exists for a monopoly.,EndOfLine
1614,240,,Economics,16,What is the Herfindahl-Hirschman Index?,The HHI is the sum of the squared market shares of the 50 largest firms in the market.,EndOfLine
1615,241,,Economics,16,"What does a Herfindahl-Hirschman Index of less than 1,000 indicate about the given market?","A HHI index of less than 1,000 indicates the market is very competitive.",EndOfLine
1616,242,,Economics,16,What is the Herfindahl-Hirschman Index range for a moderately competitive market?,"The HHI index for a moderately competitive market is between 1,000 – 1,800.",EndOfLine
1617,243,,Economics,16,"What does a Herfindahl-Hirschman Index of greater than 1,800 indicate about the given market?","A HHI index of greater than 1,800 indicates the market is uncompetitive.",EndOfLine
1618,244,,Economics,16,What is the Herfindahl-Hirschman Index value for a monopoly?,"The HHI index for a monopoly 10,000.",EndOfLine
1624,245,,,,What does it mean when a market coordinates production?,"This means that each input and/or division of labor is bought (or rented) separately and at market value in order to produce a good or service. In contrast, firms coordinate production by owning the inputs and capital and employing the labor, producing a good or service internally.",EndOfLine
1619,246,,Economics,16,Firms are often more efficient than markets in coordinating economic activity for what 4 reasons?,A firm is more efficient than markets at coordinating economic activity because they can achieve: NLN1. Lower transaction costs. NLN2. Economies of scale. NLN3. Economies of scope. NLN4. Economies of team production.,EndOfLine
1620,247,,Economics,16,What are transaction costs?,"Transaction costs are costs that arise from making an economic exchange. It includes search and information costs incurred in finding sellers of a good and those with the lowest prices, etc. Bargaining costs are also a part of transaction costs, as are the policing and enforcement costs required to ensure that all terms of an agreement are fulfilled.",EndOfLine
1621,248,,Economics,16,What are economies of scale?,Economies of scale exist when the cost of producing a good falls as more of that good is produced.,EndOfLine
1622,249,,Economics,16,What are economies of scope?,"Economies of scope exist for a firm when it can apply its specialized and often expensive resources (both human and industrial capital) to produce a range of goods and services. Thus, that firm can provide a breadth of goods and services to its clients.",EndOfLine
1623,250,,Economics,16,What are economies of team production?,"Economies of team production arise when individuals specialize in mutually supportive tasks as part of a production group, or team.",EndOfLine
1700,251,,Economics,17,"Describe the relation between total product of labor, marginal product of labor, and average product of labor.","Total product of labor is the quantity produced, and it is a function of labor and capital. The marginal product of labor is the additional quantity produced when expanding labor input alone by one unit. The average product of labor is total product of labor divided by amount of labor used.",EndOfLine
1701,252,,Economics,17,How does marginal product of labor relate to increasing and decreasing marginal returns?,Increasing marginal returns exist when the marginal product of labor is positive. Decreasing marginal returns exist when the marginal product of labor is negative.,EndOfLine
1702,253,,Economics,17,How does the average product of labor relate to increasing and decreasing marginal returns?,Increasing marginal returns exist when the average product of labor decreases per additional unit of labor used.,EndOfLine
1703,254,,Economics,17,"Explain the relation between total cost, marginal cost, and average cost. How do the curves look?","Marginal cost is the change in total cost required to produce one more unit of output. Average costs are the costs per unit of total production. NLNThe total cost curve is highest; below it is the average cost curve which is U-shaped. The marginal cost curve is lowest, also U-shaped, and it crosses the average cost curve upward at the minimum average cost.",EndOfLine
1704,255,,Economics,17,What are diseconomies of scale?,"Diseconomies of scale are forces that cause larger firms to produce goods and services at increasing costs per unit. It is theoretically the result of symptoms such as, but not limited to: office politics, duplication of effort, slow response time, cannibalization, public and government opposition, and so on.",EndOfLine
1800,256,,Economics,18,Differentiate between market and firm demand curves in a perfectly competitive market.,"The demand curve facing the whole market is conventionally downward-facing. The demand curve facing a firm, itself, in a perfectly competitive market is perfectly elastic and flat, and the price is the equilibrium price determined by the market.",EndOfLine
1801,257,,Economics,18,What is the profit maximizing (loss minimizing) output for a perfectly competitive firm?,"The profit maximizing, or loss minimizing, output for a perfectly competitive firm is that level of production where marginal revenue is equal to price.",EndOfLine
1802,258,,Economics,18,Describe a perfectly competitive firm's short-run supply curve.,"The supply curve is the marginal cost curve at and above the minimum average variable cost curve. That is, it is the portion of the marginal cost curve above the shut-down point. ",EndOfLine
1803,259,,Economics,18,"Explain the impact of changes in demand, entry and exit of firms, and changes in plant size on long-run equilibrium in a perfectly competitive market.","Changes in demand will shift the demand curve, and firms will enter or exit the industry until the supply curve shifts to the extent that equilibrium is reached at the original price (where each individual firm is only making a normal profit). The entry and exit of firms, or changes in plant size will facilitate the move towards long-run equilibrium.",EndOfLine
1901,260,,Economics,19,What is the relation between marginal revenue and the elasticity of demand facing a monopoly?,Marginal revenue is positive if demand is elastic and negative when demand is inelastic. ,EndOfLine
1903,261,,Economics,19,What is price discrimination?,"This is when a firm is able to sell identical goods at different prices to customers, so that customers willing to pay more will pay more. Price discrimination results leads to a loss in consumer surplus and a gain in producer surplus.",EndOfLine
1904,262,Y,Economics,19,Describe monopoly price-setting strategies.,"Unlike a perfectly competitive firm, a monopoly can adjust the market price for its product, and it produces at a price and quantity on along the downward-sloping demand curve. However, just like a perfectly competitive firm, its optimal pricing decision should equate the marginal cost (MC) with the marginal revenue (MR) of production.",EndOfLine
1906,263,,,,How do you determine the profit a monopoly is making?,"This is the difference between price and average cost, times the quantity of production.",EndOfLine
1904,264,Y,Economics,19,What is the role of deadweight in a monopoly?,"The deadweight loss exists because a monopoly will price its product on the demand curve above the equilibrium price. The decrease in consumer surplus is larger than the increase in producer surplus, and the potential surplus that went neither to the monopolist or to consumers is the deadweight loss.",EndOfLine
1905,265,,Economics,19,What is rent-seeking?,"Rent seeking is the effort of a firm to establish itself as a monopoly, requiring the inefficient expenditure of resources and time.",EndOfLine
2000,266,,Economics,20,What is the profit maximizing (loss-minimizing) output under monopolistic competition and oligopoly?,"The profit maximizing price and output will always be where marginal cost equals marginal revenue, unless the firm is operating at a loss and is not a going concern, in which case it should leave the market entirely.",EndOfLine
2001,267,,Economics,20,What is the long-run economic profit for firms in monopolistic competition?,The long run economic profit for firms in monopolistic competition is zero. This is because firms will enter the market to divide economic profits until they no longer exist.,EndOfLine
2002,268,,Economics,20,How efficient is monopolistic competition?,"A monopolistically competitive firm generally produces less output and charges a higher price than would be the case for a perfectly competitive firm. As long as the price per unit of product is higher than the marginal cost of production, the firm is not efficient. The degree of inefficiency of the market is determined by the elasticity of the demand curve. The more elastic the demand curve facing a monopolistically competitive firm, the more efficient is the market.",EndOfLine
2003,269,,Economics,20,"Explain the importance of innovation, product development, advertising, and branding under monopolistic competition.","Innovation, product development, advertising and branding are all tools that firms use to differentiate their product in a monopolistically competitive market.",EndOfLine
2004,270,,Economics,20,Explain the kinked demand curve model under an oligopoly.,"The demand curve is kinked because any increase above a certain price P would bring a big decrease in quantity sold, as the firm's competitors would steal market share at price P. At the same time, if a firm were to decrease prices below price P, this would bring about a relatively small increase in quantity sold because competitors would also lower prices.",EndOfLine
2005,271,,Economics,20,What is the Prisoners' Dilemma?,"The Prisoner's Dilemma is a fundamental problem in game theory, used to indicate the decision-making process for firms in an oligopoly as they set production levels and forecast profits.",EndOfLine
2100,272,,Economics,21,What is derived demand?,"This is when the demand for one good or service occurs because it is a factor of production for another. Therefore, the change in demand for the finished product, and consequent change in production, will change the derived demand for the input.",EndOfLine
2101,273,,Economics,21,What is the difference between marginal revenue and marginal revenue product (MRP)?,Marginal revenue product is the increase in revenue per unit increase in a variable input of production. Marginal revenue is the increase in revenue per unit increase in the quantity produced.,EndOfLine
2102,274,,Economics,21,How does marginal revenue product (MRP) determine the demand for labor and the wage rate?,"To achieve maximum profit, firms will hire workers up to the point where marginal revenue product (MRP) is equal to the wage rate; therefore, if MRP increases, demand for labor increases and bids up the wage rate. Conversely, if MRP decreases, so does the demand for labor and the equilibrium wage rate.",EndOfLine
2103,275,,Economics,21,What factors change the demand for labor?,Three factors affect the demand for labor: NLN1. the price of the firm's output NLN2. other factor prices NLN3. technology,EndOfLine
2104,276,,Economics,21,What factors determine the elasticity of market demand for labor?,Three primary factors affect the demand for labor: NLN1. the labor intensity of the production process NLN2. the elasticity of demand for the product NLN3. the substitutability of capital for labor,EndOfLine
2105,277,,Economics,21,What factors determine the supply of labor?,The key factors that affect the supply of labor are: NLN1. growth in the adult population NLN2. technological change and capital accumulation.,EndOfLine
2106,278,,Economics,21,Explain the difference between physical capital and financial capital.,"Physical capital is the stock of equipment, buildings, and other assets that are used in production. Financial capital includes the financial resources used to purchase the physical capital and afford other expenditures that facilitate business.",EndOfLine
2107,279,,Economics,21,Explain the relation between the demand for physical capital and the demand for financial capital.,The firm's demand for financial capital is determined by its demand for physical capital. The firm must plan to borrow (and save) the amounts sufficient to cover expenditures on the factors of production and other costs.,EndOfLine
2108,280,,Economics,21,Explain the role of the present value technique in determining the demand for capital.,The firm must calculate the present value of future revenues in order to make the capital investment decision regarding the purchase (now) of new equipment or other productive assets.,EndOfLine
2109,281,,Economics,21,Explain the factors that influence the supply of capital.,"The supply of capital is determined by the amount that people and firms are currently saving. Therefore the factors that influence saving, such as interest rates, expected inflation, expected future income, and current income, all contribute to changes in the supply of capital.",EndOfLine
2110,282,,Economics,21,What is the difference between renewable and non-renewable natural resources? What do their supply curves look like?,"Renewable resources are those that are naturally replenished by nature. Non-renewable resources are not. Therefore, the supply of renewable natural resources is fixed (land, for instance) and so the supply curve is perfectly inelastic. The supply of nonrenewable natural resources is perfectly elastic at a price that is equal to the discounted value of next year's expected price. This is because owners would refrain from selling their stock if they would make more by selling it next year (instead of making interest on the amount of the current receipt).",EndOfLine
2111,283,,Economics,21,Explain the difference between economic rent and opportunity costs.,Opportunity costs measure the costs associated with forgone opportunities as capital (material and human capital) is employed in one project and therefore not available for others.,EndOfLine
2112,284,,Economics,21,What is the substitution effect of labor?,This describes the tendency of people to work more and sacrifice their leisure time as wage rates increase.,EndOfLine
2113,285,,Economics,21,What is the income effect of labor?,This describes the tendency of people to take more leisure time as wages (and income) increase.,EndOfLine
2200,286,,Economics,22,What are the four phases of the business cycle?,The four phases of the business cycle are: NLN1. Recession NLN2. Recessionary trough NLN3. Expansion NLN4. Peak,EndOfLine
2201,287,,Economics,22,Define aggregate hours.,"This is the sum of hours worked by all workers during the course of the year. It can also refer to total hours worked by those in a particular sector or group, depending on the case analysis.",EndOfLine
2202,288,,Economics,22,Define real wage rate.,This is the wage compensation rate adjusted for inflation.,EndOfLine
2204,289,,Economics,22,List the three types of unemployment.,1. Frictional unemployment NLN2. Structural unemployment NLN3. Cyclical unemployment,EndOfLine
2211,290,,,,What is frictional unemployment?,"Frictional unemployment, sometimes called search unemployment is characterized by the transition between jobs; it is the constant turnover as qualified workers take time to be matched to a suitable, existing job opening. ",EndOfLine
2212,291,,,,What is structural unemployment?,"Structural unemployment results from a structural change in the economy that replaces existing jobs with ones that demand a different skill set, so that laid off workers are not qualified for the newly generated job openings.",EndOfLine
2213,292,,,,What is cyclical unemployment?,"Cyclical unemployment refers to unemployment that rises during contractionary periods and falls during times of expansion. Note that at levels above full capacity, negative cyclical unemployment exists, or the economy is said to be running above full employment.",EndOfLine
2205,293,,Economics,22,Explain full employment.,"Full employment is the economic condition in which cyclical unemployment is zero. Since there is still structural and frictional employment in this circumstance, there is still some level of unemployment when the economy is at full employment. Also, according to the Phillips Curve, the ideal full employment is determined by the rate of inflation.",EndOfLine
2206,294,,Economics,22,Explain the natural rate of unemployment.,"The natural rate of unemployment is the rate of UNemployment when the economy is at full employment. It represents the hypothetical unemployment rate consistent with aggregate production at the “long-run” level, and so it is determined by the economy's capacity for production, also called the “supply side”.",EndOfLine
2207,295,,Economics,22,Describe the relation between the consumer price index (CPI) and the inflation rate.,"To get the inflation rate, calculate the percentage change in the CPI year over year.",EndOfLine
2208,296,,Economics,22,What is the consumer price index (CPI)? How do you calculate it?,"This is a measure used to estimate the average price of a basket of household consumer goods and services, in relation to a base price for the same basket from a prior period. The way it is calculated is by taking the ratio of the current price to the base period price and multiplying by 100. ",EndOfLine
2209,297,,Economics,22,What are the main sources of consumer price index (CPI) bias?,"Bias arises from new goods being consumed, improved quality of basket goods and services, commodity substitution and outlet substitution.",EndOfLine
2210,298,,Economics,22,Define inflation and explain its causes.,"Inflation is a rise in the level of prices over a period of time. It is also a decline in the real value of money, a loss in the purchasing power of each dollar held. The inflation rate is the rate of increase of a price index (usually, the consumer price index). NLNInflation usually is the result of aggregate demand in excess of aggregate supply, pushing prices higher for scarce goods and services. High rates of inflation and hyperinflation are associated with excessive growth of the money supply.",EndOfLine
2300,299,Y,Economics,23,Describe the macroeconomic long-run aggregate supply curve and the factors that affect it.,"The long-run aggregate supply curve is vertical at potential GDP. This is because it is presumed that all prices change in concert, meaning that an increase in prices for a product would accompany a proportional change in prices of all inputs of production for that product.",EndOfLine
2301,300,,Economics,23,What factors cause movement of the macroeconomic long-run and short-run aggregate supply curve (LAS and SAS)?,"Any change that would affect potential real GDP would shift both the long- and short-run aggregate supply curves. Such changes would be: a change in the quantity of capital, an advance in technology, and a change in the full-employment quantity of labor.",EndOfLine
2302,301,,Economics,23,Why does the aggregate demand curve slope downward?,The aggregate demand curve slopes down for two reasons: the wealth effect and the substitution effect.,EndOfLine
2300,302,Y,Economics,23,Explain the difference between short-run and long-run macroeconomic equilibrium.,"In the long-run, equilibrium occurs where the aggregate demand curve intersects the long-run aggregate supply (LAS) curve, at potential GDP, while the money wage also adjusts in the long run so that the short-run aggregate supply curve also intersects the LAS curve at the same equilibrium price level. NLNIn the short-run, equilibrium occurs where the aggregate demand curve intersects just the short-run aggregate supply curve.",EndOfLine
2300,303,Y,Economics,23,Describe the macroeconomic short-run aggregate supply curve and the factors that affect it.,"The short-run aggregate supply curve is linear because prices may increase while wages and the prices of inputs may remain constant. Thus, when facing higher prices, it is profitable for firms to increase production.",EndOfLine
2305,304,,Economics,23,What is the substitution effect of demand?,"The substitution effect describes the habit of people to substitute cheaper, internationally made goods when domestic price levels rise. Also, the same effect describes the tendency of people to save money when prices rise, since interest rates typically rise when prices do.",EndOfLine
2306,305,,Economics,23,What is the wealth effect of demand?,"When price levels rise but all else stays the same, the amount people have saved (their wealth) has lesser real value. Thus, they are encouraged to restore their wealth through further saving and decreased consumption.",EndOfLine
2307,306,,Economics,23,What factors shift the aggregate demand curve?,"All factors besides price level that affect people's consumption levels cause shifts in the demand curve. Such factors include: future expectations (of inflation, income, etc.), fiscal and monetary policies, and the world economy.",EndOfLine
2412,307,,,,What is M1? ,"M1 is the measure of money including currency, traveler's checks, and checking deposits held by private businesses and individuals.",EndOfLine
2400,308,,Economics,24,What is M2?,"M2 is the measure of money including time deposits, savings deposits, and money market mutual funds, and similar deposits.",EndOfLine
2401,309,,Economics,24,Describe the potential problems in measuring an economy's money supply.,"One problem is that so much of U.S. currency is held abroad, reducing the reliability of M1. NLNAnother problem is that low fee stock and bond funds have attracted funds out of M2 components (time deposits, savings deposits, and money market mutual funds, etc.) NLNNote: Credit cards and debit cards allow people to hold less currency and keep more deposits. This in turn allows banks to create more money. The increasing use of credit cards and debit cards should thus be checked by the Fed to prevent uncontrolled growth in the money supply and unexpected inflation.",EndOfLine
2402,310,,Economics,24,List the functions of money.,Money functions as: NLN1. a medium of exchange NLN2. a unit of account NLN3. a store of value.,EndOfLine
2403,311,,Economics,24,List some of the financial regulations that protect depositors.,"Financial regulations that protect depositors are: deposit insurance, required reserves, minimum equity reserves, and deposit and lending rules.",EndOfLine
2404,312,,Economics,24,"Describe relationship between the reserve ratio, required reserves, and excess reserves.",The reserve ratio is the fraction of a bank's total deposits that are held in reserves. The required reserves are the amount in deposits that must be held according to regulation; the amount is equal to total deposits multiplied by the required reserve ratio. NLNExcess reserves are those reserves held above and beyond the required reserves.,EndOfLine
2405,313,,Economics,24,How does a bank create money?,"Banks loan out excess reserves to create money. NLNThe total amount of money created by the banking system, given new deposits, is determined by the money multiplier and the multiplier effect. A series of steps is repeated: banks lend excess reserves (a portion of new deposits); this increases the total quantity of money in the system; this money is used and a portion is eventually deposited again; this increases the bank's required reserves and also its excess reserves (but by a smaller amount than before). This process is repeated until excess reserves are zero.",EndOfLine
2406,314,,Economics,24,Describe the intentions of the U.S. Federal Reserve in conducting monetary policy.,"The Fed's goals are to maintain a steady rate of inflation, full employment, a perpetually moderate business cycle, and long term economic growth. In reality, the Fed strives for these goals as best as it can, but is compelled more generally to just improve the performance of the economy.",EndOfLine
2407,315,,Economics,24,What three policy tools does the Fed use to control the quantity of money?,"Monetary policy implies the power to adjust the quantity of money in circulation. The three policy tools used to control the money supply are: NLNThe required reserve ratio NLNThe discount rate NLNOpen Market Operations NLNNLNNote: In the recent recession, the Federal Reserve has opened its “window” to purchasing other types of assets (some “toxic”) from banks in order facilitate lending.",EndOfLine
2413,316,,,,What is the required reserve ratio?,This is the minimum percentage of deposits that a bank must hold in reserves. The Fed has the power to set the required reserve ratio for each type of deposit.,EndOfLine
2414,317,,,,How does the Fed use the discount rate in monetary policy?,This is the rate at which the Fed is prepared to lend out to banks and other depositary institutions. This rate makes it easier or harder (cheaper or more expensive) for institutions to meet their reserve requirements.,EndOfLine
2415,318,,,,What are open market operations?,This is the most powerful tool given to the Central bank. An open market operation is when the Federal Reserve purchases or sells a government security on the open market. When the Fed purchases a security (U.S. Treasury bill or bond) then it adds to the money in circulation.,EndOfLine
2408,319,,Economics,24,What are the assets and liabilities on the Fed's balance sheet?,"The Fed's assets are: gold and foreign exchange, U.S. government securities, and loans to banks. The Fed's liabilities are: Federal reserve notes in circulation, and banks' deposits.",EndOfLine
2409,320,,Economics,24,What is the monetary base?,The monetary base is comprised of coins and paper money in circulation and the Fed's liabilities (all commercial banks' reserves with the central bank).,EndOfLine
2410,321,,Economics,24,What is the money multiplier?,This is the mechanism used to calculate the maximum amount of money that an initial deposit can be expanded to with a given reserve ratio. It is equal to one divided by the reserve ratio (although this does not account for currency drain). The money multiplier is larger when the reserve required ratio is smaller or when less currency is in circulation.,EndOfLine
2411,322,,Economics,24,"What is the relation between the monetary base, the money multiplier, and the quantity of money?","The money multiplier will determine the change in the quantity of money that results from a given change in the monetary base. Remember that when a commercial bank makes additional deposits with the Fed, its increased reserve allows it to create money, and the money multiplier is used to calculate the maximum amount of money that can be created.",EndOfLine
2500,323,,Economics,25,What are the determinants of aggregate supply and demand of money? Describe the supply and demand curves.,"The supply of money is controlled by the central bank through its monetary policy. As a curve it is inelastic (vertical). NLNThe demand for money is dependent on interest rates. When interest rates rise, the cost of holding money (the cost of liquidity) increases, and people will instead buy assets that appreciate with price levels. When interest rates fall, people are more willing to hold money because there is less benefit to holding financial assets. Thus, the demand curve is downward sloping (relatively elastic). NLNIn macroeconomics, the supply and demand curve cross at an equilibrium rate of interest and quantity of money demanded.",EndOfLine
2501,324,,Economics,25,Describe the effects of changes in real GDP on the demand for money.,"An increase in real GDP is equivalent to an increase in aggregate expenditures and income. People, with higher incomes, will spend more and consequently will want to have more money on hand to finance those expenditures. This will shift out the money demand curve.",EndOfLine
2502,325,,Economics,25,Explain interest rate determination.,"Interest rates converge at the equilibrium point where the supply of money equals the demand for money. Each day, the supply of money is set, and the demand for money changes with the interest rate, all else being relatively constant.",EndOfLine
2503,326,,Economics,25,Describe the quantity theory of money.,"The quantity theory of money states that an increase in the quantity of money in circulation will bring about an equal percentage increase in prices. It is founded on the concept of the velocity of circulation, which is the number of times a dollar is used to pay for all goods and services (GDP): NLNV = PY/M, where V is velocity of money; P is prices; Y is GDP, and M is the supply of money. NLNThe equation of exchange adjusts the equation to the form: NLNMV = PY NLNThe quantity theory of money is based on the equation of exchange and the assumption that velocity and GDP are slow to change, or that V and Y are considered constant. Thus, the percentage increase in the quantity of money will equal the percentage increase in price levels.",EndOfLine
2504,327,,Economics,25,Explain the relation between the quantity theory of money and aggregate supply and demand.,"The quantity theory of money, or more specifically the equation of exchange, can be used to create the equation P=MV/Y. Holding the quantity of money (M) and the velocity of circulation (V) constant, this equation can be interpreted as describing the aggregate demand curve - price level (P) as a function of quantity (Y). By the same equation, an increase in the quantity of money would cause a shift in the aggregate demand curve upward by the same amount as the percentage change in the quantity of money. Then, using the aggregate supply-aggregate demand (AS-AD) model, it can be shown that the short run aggregate supply curve would eventually move upward by an equal amount in order for real GDP to remain at potential, long-run GDP. Thus, the money wage rate would also have increased by the same proportion.",EndOfLine
2505,328,,Economics,25,Explain the consequences of the Fed raising the interest rate.,"If the Fed were to raise interest rates, three things would happen. First, investment and consumption expenditures would decrease as people are incentivized to save. Second, the dollar rises because higher interest domestic interest rates would increase demand for the dollar. Finally, a multiplier process unfolds in which the decreased expenditures, on top of the decrease in exports (due to the more expensive dollar), would slow real GDP growth and inflation.",EndOfLine
2506,329,,Economics,25,What is the equation of exchange?,"The equation of exchange states that MV=PY. In plain English, it says that the quantity of money (M) multiplied by the velocity of circulation (V) equals GDP, which is price level (P) multiplied by the quantity of production (Y).",EndOfLine
2507,330,,Economics,25,Describe the effects of financial innovation on the demand for money.,"Some financial innovations that have changed the demand for money (and currency held) are: ATMs, credit cards, debit cards, internet banking, online bill paying, and daily interest checking deposits.",EndOfLine
2600,331,,Economics,26,What are the effects of inflation on economic activity?,"The effects of inflation are that it increases risk, distorts prices, and reduces output.",EndOfLine
2601,332,,Economics,26,What is the difference between inflation and the price level?,Inflation is the rate at which a price level increases year over year.,EndOfLine
2603,333,,Economics,26,Explain the evolution of demand-pull inflation.,"Demand-pull inflation starts with an increase in aggregate demand, which would occur if the Fed lowered interest rates or if the government increased spending. Then, using the AS-AD model, the short-run aggregate supply curve would move upwards so that its point of intersection with the new aggregate demand curve would coincide with the long-run supply curve, which is constant at real, potential GDP. Thus, the increase in aggregate demand pulls the price level upwards in the long-run.",EndOfLine
2604,334,,Economics,26,Explain the evolution of cost-push inflation.,"This is when inflation results from an initial increase in costs of production, which typically occur in the form of higher money wage rates or an increase in the money prices of raw materials, such as oil. The increase in costs moves the short-run aggregate supply curve leftward (and upward) to reflect these higher costs. NLNThe new intersection point with the aggregate demand curve, as indicated in the AS-AD model, is at a real GDP less than the potential GDP. Thus, unemployment rises above its natural rate. NLNThis would typically induce a public outcry that would encourage a response by the Fed or government to increase aggregate demand, moving equilibrium back to the full employment level of real GDP, but at a much higher price level.",EndOfLine
2605,335,,Economics,26,Describe the difference between anticipated and unanticipated inflation.,"Unanticipated inflation unexpectedly reduces purchasing power and the real value of money over time. Any income to be received (an annuity, for example) then has a lower present value, after the cash flows are discounted. NLNAnticipated inflation is accounted for in financial transactions so that a stream of income maintains its real value. This can be done using a variable-rate contract or by demanding hire prices on fixed rate contracts.",EndOfLine
2606,336,,Economics,26,Explain the effects of unanticipated inflation in the market for financial capital.,"Unanticipated inflation leads to the redistribution of income and too much or too little lending or borrowing. For instance, if banks have lent out at a given rate, and then inflation increases, the money being repaid to lenders is worth less than would have been expected. In this case, the borrowers gain at the expense of lenders. At the same time, borrowers will have wished they had borrowed more, and lenders will have wished they had lent out less.",EndOfLine
2607,337,,Economics,26,What is the impact of unanticipated inflation on the labor market?,"Remember that wage rates are set to reflect the expected amount of inflation. That is, aggregate demand is expected to rise by some amount and so the SAS curve is set to that level by raising wages.  If inflation is any more or less than that expected rate, the demand curve will intersect the short-run aggregate supply curve to the right or left of potential GDP, which is the GDP at full employment and LAS (in the AD-AS model). Depending on whether aggregate demand increases by more or less than expected,  demand-pull or cost-push inflation will result.",EndOfLine
2608,338,Y,Economics,26,Describe the short-run Phillips curve.,The short-run Phillips curve shows the relationship between inflation and unemployment when either the expected inflation rate and the natural employment rate are given (all points are on the curve).,EndOfLine
2608,339,Y,Economics,26,Describe the long-run Phillips curve.,"The long-run Phillips curve shows the relationship between inflation and unemployment when the actual inflation rate is in fact the expected rate. It is a vertical line, meaning that at any anticipated rate of inflation the economy can still function at full employment. Note that this is consistent with the AD-AS model, when the SAS curve moves upward in anticipation of upward shifts in the demand curve (that result from inflation).",EndOfLine
2608,340,Y,Economics,26,"Describe what happens when inflation increases to a new expected rate, using short-run and long-run Phillips curves.","First, the unexpected change in inflation will result in a movement along the short-run Phillips curve, and the unemployment rate will fall (to point B). Then, as this new rate of inflation becomes the anticipated rate of inflation, the short-run Phillips curve will shift upwards until the unemployment is again at the natural rate (point C).",EndOfLine
2609,341,,Economics,26,How do changes in the natural rate of unemployment affect the short-run and long-run Phillips curve?,Changes in the natural rate of employment shift both the short-run and long-run Phillips curves.,EndOfLine
2610,342,,Economics,26,"Explain the relation among inflation, nominal interest rates, and real interest rates.","At equilibrium, the nominal interest rate will equal the real interest rate plus the expected inflation rate.",EndOfLine
2611,343,,Economics,26,What are the adverse consequences of excessive levels of anticipated inflation?,"First, transaction costs increase because the velocity of circulation increases. People expect that their money will not hold its value so they spend it quickly. This also diverts those money resources from producing goods and services that would increase GDP. NLNSecondly, tax effects seriously diminish the after-tax real interest rate, because people must account for inflation after taxes. NLNFinally, the increased uncertainty that accompanies high rates of anticipated inflation can deter investors and hamper long-term planning.",EndOfLine
2700,344,,Economics,27,What are the supply-side effects of income tax on employment and potential GDP?,Workers will be discouraged to work less because they will earn less (the substitution effect). Potential GDP will fall with employment.,EndOfLine
2701,345,,Economics,27,What is the Laffer curve?," A Laffer curve illustrates the relationship between the tax rate and tax revenues. As the tax rate increases from 0 to 100 percent, revenue increases from zero to a maximum and then falls back to zero.",EndOfLine
2702,346,,Economics,27,What equation describes the relationship between government spending and investment?,Investment is equal to private saving plus the government surplus (deficit).,EndOfLine
2703,347,,Economics,27,What are the generational effects of fiscal policy?,"Government-issued debt and government spending is financed by taxes and other government collections (such as social security). When the government creates liabilities, it is the burden of future generations to pay off those liabilities through taxes and other government receipts.",EndOfLine
2704,348,,Economics,27,What is the generation imbalance?,The generation imbalance is the distribution of fiscal imbalances among current and future generations.,EndOfLine
